SITE_ID,day_group,year,LATITUDE_x,LONGITUDE_x,srad_mean,tmmn_mean,tmmx_mean,vpd_mean,Fpar_500m_mean,Lai_500m_mean,ee_elevation_mean,elevation_diff_mean,water_mean_mean,trees_mean_mean,grass_mean_mean,flooded_vegetation_mean_mean,crops_mean_mean,shrub_and_scrub_mean_mean,built_mean_mean,bare_mean_mean,snow_and_ice_mean_mean,label_mean_mean,label_argmax_numeric_mean,GPP_mean,GPP_sum
US-Ro5,18,2019,44.691,-93.0576,247.88749789625,282.98750305,293.625,0.6674999961575,43.390490535000005,9.63801635075,283.4477213,0.447721300000012,0.05280767502,0.03803631812,0.0471629887,0.03505999473,0.3627098287,0.05650830195,0.03260618178,0.1027458648,0.2723246669,5.74394568,4.0,0.0,0.0
US-Ro5,18,2020,44.691,-93.0576,226.3750019125,287.87499237500003,296.61250305,0.7962499930875,52.03108864375,12.000430288375,283.4477213,0.447721300000012,0.05452538003,0.03134304508,0.04953917621,0.03689292784,0.5476501673,0.04310528242,0.02975956343,0.09111517275,0.1160314782,4.5,4.0,0.0,0.0
US-Ro5,18,2021,44.691,-93.0576,248.64999961875,283.4249992375,293.26249695,0.7512499821125,53.81153184125,13.618653182875,283.4477213,0.447721300000012,0.047810945,0.03807272016,0.04541110369,0.02876142992,0.5071429037,0.03968945745,0.03019813083,0.09029029289,0.1725860195,4.890348203,4.0,0.0,0.0
US-Ro5,19,2017,44.691,-93.0576,303.3374977125,287.349998475,302.5375022875,1.448749996575,55.29625645375,13.79539586625,283.4477213,0.447721300000012,0.03340051039,0.06122138652,0.09889372306,0.02977435751,0.626162686,0.03220672863,0.03804124724,0.04381369589,0.03644822817,4.0,4.0,0.0,0.0
US-Ro5,19,2018,44.691,-93.0576,279.837503425,288.11250305,299.2875022875,0.9512500055375,50.71783563125,12.3741394125,283.4477213,0.447721300000012,0.04684766721,0.1425011642,0.08523099082,0.0281304886,0.5333043814,0.03157548196,0.04413836505,0.0478515608,0.04038113383,3.751918505,4.0,171.203342839625,1369.626742717
US-Ro5,19,2019,44.691,-93.0576,288.5625019,287.7000007625,300.7125053375,1.036249974,53.37209552125,12.929539589375,283.4477213,0.447721300000012,0.06493410167,0.03499270895,0.1054239964,0.02957476556,0.5049760572,0.04097341203,0.05002122822,0.1078840999,0.06118121444,4.597727746,4.0,0.0,0.0
US-Ro5,19,2020,44.691,-93.0576,294.0625,288.13749695,301.6874961875,1.2224999888,58.1297332175,15.54087779625,283.4477213,0.447721300000012,0.0415619786175,0.06917878754375,0.11696521696375,0.028422294235,0.5459166926375001,0.04287673657625,0.0405808960325,0.0650628064275,0.04939570613875,4.00430089225,4.0,0.0,0.0
US-Ro5,19,2021,44.691,-93.0576,287.7499980875,292.349998475,305.224998475,2.008750006875,55.83164801625,14.22278398875,283.4477213,0.447721300000012,0.03458014088,0.04485126984,0.09333828456,0.02939715302,0.6250023981,0.03705147163,0.03581493669,0.06119258332,0.03873424249,4.0,4.0,0.0,0.0
US-Ro5,20,2017,44.691,-93.0576,273.137502675,290.86250305,302.2749977125,1.06624999645,58.42867900125,15.869944065,283.4477213,0.447721300000012,0.03340051039,0.06122138652,0.09889372306,0.02977435751,0.626162686,0.03220672863,0.03804124724,0.04381369589,0.03644822817,4.0,4.0,0.0,0.0
US-Ro5,20,2018,44.691,-93.0576,260.8999977125,290.0624961875,298.7249946625,0.8287499882375,55.9576161825,13.96407056875,283.4477213,0.447721300000012,0.04684766721,0.1425011642,0.08523099082,0.0281304886,0.5333043814,0.03157548196,0.04413836505,0.0478515608,0.04038113383,3.751918505,4.0,232.0689200795,1856.551360636
