county,state,year,trees lost,grass lost,lost flooded veg,lost crops,lost shrub,gained trees,gained grass,gained flooded veg,gained crops,gained shrub
Modoc,California,2016,12689913.844721058,14468709.07382591,2256730.135574341,306567203.97212577,441338094.50884473,18025442.818403177,57363109.46501166,17350360.621948242,1165266564.4161112,3174829517.5157776
Modoc,California,2018,1921958.1536113366,14585000.64146543,317516.03018188477,843099838.0104369,866068272.0362396,52773551.20536804,41197669.868878774,12481452.44176887,255115424.2728047,905618581.6549809
Modoc,California,2019,13446712.911727276,18224459.07167705,5893671.883483348,124884895.06797868,1179704353.5241,6500554.35822718,21685055.093426995,1952675.2051391602,2058385016.2641633,815862019.5374696
Modoc,California,2021,1332102.5524474499,9854066.984791774,1265496.2565307617,835914139.052078,474180514.9755999,10453283.27995767,113986960.73203443,6606289.810241699,1197859457.0572639,3511358381.508161
