,SITE_ID,LULC,LATITUDE,LONGITUDE,ELEVATION
117,US-EKH,WET,36.8094,-121.7523,0.5
118,US-EKP,WET,36.8558,-121.7488,0.0
119,US-EKY,WET,36.8105,-121.7487,0.0
120,US-Elm,WET,25.5519,-80.7826,0.77
121,US-EML,OSH,63.8784,-149.2536,700.0
122,US-EPM,SAV,30.8167,-99.8619,
123,US-Esm,WET,25.4379,-80.5946,1.07
124,US-EvM,WET,25.3539,-80.381,0.332
125,US-Fcr,OSH,65.3968,-148.9348,265.0
126,US-Fmf,ENF,35.1426,-111.7273,2160.0
127,US-Fuf,ENF,35.089,-111.762,2180.0
128,US-Fwf,GRA,35.4454,-111.7718,2270.0
129,US-GBT,ENF,41.3658,-106.2397,3191.0
130,US-GLE,ENF,41.3665,-106.2399,3197.0
131,US-Ha1,DBF,42.5378,-72.1715,340.0
132,US-Ha2,ENF,42.5393,-72.1779,360.0
133,US-HB1,WET,33.3455,-79.1957,0.1
134,US-HB2,ENF,33.3242,-79.244,4.7
135,US-HB3,ENF,33.3482,-79.2322,7.3
136,US-HBK,DBF,43.9397,-71.7181,367.0
137,US-Hn1,OSH,46.4089,-119.275,118.58
138,US-Hn2,GRA,46.6889,-119.4641,117.5
139,US-Hn3,OSH,46.6878,-119.4614,120.9
140,US-Ho1,ENF,45.2041,-68.7402,60.0
141,US-Ho2,ENF,45.2091,-68.747,61.0
142,US-Ho3,ENF,45.2072,-68.725,61.0
143,US-HRA,CRO,34.5852,-91.7517,
144,US-HRC,CRO,34.5888,-91.7517,
145,US-HRP,WET,41.938,-70.0552,0.5
146,US-Hsm,WET,38.2368,-122.0211,0.6
147,US-HWB,CVM,40.8608,-77.8488,378.0
148,US-ICh,OSH,68.6068,-149.2958,940.0
149,US-ICs,WET,68.6058,-149.311,920.0
150,US-ICt,OSH,68.6063,-149.3041,930.0
151,US-IL1,GRA,27.1879,-81.1996,14.7
152,US-Jo1,OSH,32.582,-106.635,1188.0
153,US-Jo2,OSH,32.5849,-106.6032,1469.0
154,US-Jo3,BSV,32.7123,-106.8303,
155,US-JRn,GRA,39.6789,-80.1646,384.048
156,US-KFB,GRA,39.0745,-96.5951,330.0
157,US-KFS,GRA,39.0561,-95.1907,310.0
158,US-KL1,CRO,42.4847,-85.4422,264.6
159,US-KL2,CRO,42.4768,-85.4468,258.3
160,US-KL2,GRA,42.4768,-85.4468,258.3
161,US-KL3,CRO,42.4735,-85.4473,264.7
162,US-KL3,GRA,42.4735,-85.4473,264.7
163,US-KLS,GRA,38.7745,-97.5684,373.0
164,US-KM1,GRA,42.4376,-85.3287,258.1
165,US-KM1,CRO,42.4376,-85.3287,258.1
166,US-KM2,GRA,42.4441,-85.3098,259.1
167,US-KM2,CRO,42.4441,-85.3098,259.1
168,US-KM2,GRA,42.4441,-85.3098,259.1
169,US-KM3,GRA,42.4464,-85.3105,262.1
170,US-KM3,CRO,42.4464,-85.3105,262.1
171,US-KM3,GRA,42.4464,-85.3105,262.1
172,US-KM4,CRO,42.4423,-85.3301,246.3
173,US-KM4,GRA,42.4423,-85.3301,246.3
174,US-Kon,GRA,39.0824,-96.5603,417.0
175,US-KPL,WET,60.5382,-150.5061,100.6
176,US-KS1,ENF,28.4583,-80.6709,1.0
177,US-KS2,CSH,28.6086,-80.6715,3.0
178,US-KS3,WET,28.7084,-80.7427,0.0
179,US-KUO,URB,44.9984,-93.1884,301.0
180,US-KUT,GRA,44.995,-93.1863,301.0
181,US-LA3,WET,29.4936,-89.9153,0.2
182,US-Lin,CRO,36.3566,-119.0922,131.0
183,US-LL1,SAV,31.2792,-84.5329,165.0
184,US-LL2,SAV,31.201,-84.4449,155.0
185,US-LL3,SAV,31.2688,-84.4787,159.5
186,US-Los,WET,46.0827,-89.9792,480.0
187,US-LS1,GRA,31.5615,-110.1403,1230.0
188,US-LS2,SAV,31.5659,-110.1344,1240.0
189,US-MC1,CRO,48.1873,-114.1548,900.0
190,US-MC2,CRO,48.1802,-114.2051,900.0
191,US-Me2,ENF,44.4523,-121.5574,1253.0
192,US-Me6,ENF,44.3233,-121.6078,998.0
193,US-Men,WAT,43.0772,-89.403,260.0
194,US-MH1,CRO,45.9206,-108.2414,919.6
195,US-MH2,CRO,45.9699,-108.1978,891.0
196,US-Mi1,CVM,41.7727,-80.6313,290.0
197,US-Mi2,CVM,41.5479,-80.855,280.0
198,US-Mi3,CVM,41.8222,-80.637,270.0
199,US-Mj1,CRO,46.9948,-109.6137,1285.0
200,US-Mj2,CRO,46.9957,-109.6295,1277.0
201,US-MMS,DBF,39.3232,-86.4131,275.0
202,US-MOz,DBF,38.7441,-92.2,219.4
203,US-Mpj,OSH,34.43845,-106.2377,2167.0
204,US-Mpj,ENF,34.43845,-106.2377,2167.0
205,US-Mpj,WSA,34.43845,-106.2377,2167.0
206,US-MSR,CRO,47.4758,-111.7207,1110.0
207,US-MtB,ENF,32.416349999999994,-110.72555,2573.0
208,US-MVF,CRO,47.6867,-111.4659,1128.0
209,US-MVW,CRO,47.6729,-111.4889,1134.0
210,US-Myb,WET,38.050000000000004,-121.7651,-4.0
211,US-NC1,OSH,35.8118,-76.7119,5.0
212,US-NC1,ENF,35.8118,-76.7119,5.0
213,US-NC2,ENF,35.803,-76.6685,5.0
214,US-NC3,ENF,35.799,-76.656,5.0
215,US-NC4,WET,35.7879,-75.9038,1.0
216,US-Ne1,CRO,41.1651,-96.4766,361.0
217,US-Ne2,CRO,41.1649,-96.4701,362.0
218,US-Ne3,CRO,41.1797,-96.4397,363.0
219,US-NGB,SNO,71.28,-156.6092,5.273
220,US-NGC,GRA,64.8618,-163.7002,35.0
221,US-NMj,ENF,46.6465,-88.5194,394.0
222,US-NP1,CRO,46.7756,-100.951,593.0
223,US-NP2,CRO,46.7613,-100.9257,590.0
224,US-NR1,ENF,40.0329,-105.5464,3050.0
225,US-NR3,GRA,40.052,-105.5864,3504.0
226,US-NR4,GRA,40.052,-105.5859,3502.0
227,US-Nrf,WET,47.0935,-122.6927,8.0
228,US-Nrs,WET,47.0936,-122.7079,8.0
229,US-OF1,CRO,35.7371,-90.0492,69.8
230,US-OF2,CRO,35.7406,-90.0489,69.4
231,US-Oho,DBF,41.5545,-83.8438,230.0
