SITE_ID,START_DATE,END_DATE,water_mean,trees_mean,grass_mean,flooded_vegetation_mean,crops_mean,shrub_and_scrub_mean,built_mean,bare_mean,snow_and_ice_mean,label_mean,EXTENDED_END_DATE
US-EML,2017-6-1,2017-8-31,0.02768553123,0.1800189608,0.3944765611,0.03557958021,0.0341371366,0.2253810038,0.03337127413,0.04319309175,0.02611725108,2,
US-WCr,2016-6-1,2016-8-31,0.02772468683,0.7082880074,0.04125327363,0.02642889997,0.03625228719,0.05532299368,0.03399673429,0.03841650169,0.03228023217,1,
US-Ton,2022-3-2,2022-5-31,0.02827148486,0.5489961466,0.03599426112,0.02147796736,0.04933744389,0.2101177707,0.03238665863,0.04239138629,0.03098965081,1.285285054,
US-Syv,2019-6-1,2019-8-31,0.02832804204,0.7403079729,0.03977413484,0.02741597008,0.02835151231,0.03774506871,0.03158156129,0.03402511551,0.03243570117,1,
US-Tw1,2018-6-1,2018-8-31,0.02839088191,0.4359398068,0.07363009089,0.06672268192,0.1294071891,0.1250229868,0.04525307597,0.0474593922,0.04813342735,1.624077012,
US-Var,2019-9-1,2019-11-30,0.02842274142,0.04029649198,0.1378911969,0.03727986089,0.07889407021,0.4358411304,0.03559249933,0.1603602403,0.04538067064,5,
US-Tw4,2020-6-1,2020-8-31,0.02844142167,0.4695676977,0.03537642383,0.03038630197,0.192427813,0.13001164,0.04087496714,0.03513610969,0.03773810081,1.288874264,
US-Bi1,2020-3-2,2020-5-31,0.02844800713,0.107356269,0.2881531931,0.03745729193,0.3839750002,0.04058101464,0.04406316292,0.02708412445,0.04284369071,2.917156863,
US-WCr,2017-6-1,2017-8-31,0.02847172469,0.723955335,0.03563666198,0.02594771857,0.03379824837,0.04658120246,0.0348796812,0.03848133258,0.03221173801,1,
US-Syv,2016-6-1,2016-8-31,0.02867008999,0.7314227581,0.03717077133,0.02661333115,0.03211284886,0.04198792915,0.03412558333,0.03666089876,0.03120028198,1,
