county,state,year,trees lost,grass lost,lost flooded veg,lost crops,lost shrub,gained trees,gained grass,gained flooded veg,gained crops,gained shrub
Humboldt,California,2016,3669141.806173736,10136944.669203993,54823.47749149098,4526873.720245361,23916472.3392313,52175185.133791395,26910968.689842224,326512.02252197266,7957399.812073113,44729372.9776701
Humboldt,California,2017,9464505.794354457,7455026.577774048,92256.86827581069,4395183.374176025,20096364.461133763,13526040.294393562,26695086.66975316,56393.80810546875,5812341.056198838,39470984.43248195
Humboldt,California,2018,5310889.139204198,3525354.5633233762,22247.275382995605,3287456.125228583,18652004.712314233,16675165.390263995,25373316.337622397,266250.85876823874,4800231.682106378,41044624.975641884
Humboldt,California,2019,1833477.22722524,3979307.347761027,39820.68779225069,2077882.3122253418,12326490.166671153,44848964.25840616,17570826.2599049,111963.86517333984,6508281.011942785,44469296.67951158
Humboldt,California,2020,5761205.760532214,4484235.729919434,12141.820247695025,2369947.893218994,16878436.90539506,15510741.704989985,16711299.195683707,291849.45895565255,6352047.081258168,25484715.805640128
Humboldt,California,2021,4752119.037702284,3131104.5951414816,150011.4831161499,2434697.929962158,14469501.941757951,26567063.90947966,17451205.643569708,247059.1259765625,10153197.252648119,38310762.70952052
