	SITE_ID	day_group	year	LATITUDE_x	LONGITUDE_x	srad_mean	tmmn_mean	tmmx_mean	vpd_mean	Fpar_500m_mean	Lai_500m_mean	ee_elevation_mean	elevation_diff_mean	water_mean_mean	trees_mean_mean	grass_mean_mean	flooded_vegetation_mean_mean	crops_mean_mean	shrub_and_scrub_mean_mean	built_mean_mean	bare_mean_mean	snow_and_ice_mean_mean	label_mean_mean	label_argmax_numeric_mean	GPP_mean	GPP_sum
3199	US-Ne2	12	2016	41.1649	-96.4701	236.4721780375	273.008872225	289.443952625	0.6993145152625	30.515624997499998	5.2073275866249995	356.035136	5.964863999999977	0.05040120963	0.02863386127	0.1061711255	0.04512169717	0.2912099067	0.1237990361	0.03516596087	0.2722508507	0.04720446925	5.266416385	4.0	0.0	0.0
3200	US-Ne2	12	2017	41.1649	-96.4701	230.70483704999998	275.4693537	292.16854981250003	0.7024193516625	22.6670258575	3.90204741375	356.035136	5.964863999999977	0.04581457425	0.02958376431	0.06517121165	0.02826613258	0.6077576666	0.0400121135	0.02934059564	0.1119697711	0.04204657165	4.0	4.0	0.0	0.0
3201	US-Ne2	12	2018	41.1649	-96.4701	186.3850811875	270.0112923625	285.2342756875	0.5593548403999999	16.75420258875	2.7012931038750003	356.035136	5.964863999999977	0.04551037997	0.02858618465	0.05693006703	0.03012973591	0.4365549331	0.07009694839	0.03269986046	0.2552040936	0.04424871604	4.948056564	4.0	0.0	0.0
3202	US-Ne2	12	2019	41.1649	-96.4701	180.768549275	277.4495938375	291.7310504375	0.708629033925	21.215193966250002	3.6104525866249997	356.035136	5.964863999999977	0.06986549264	0.02906634072	0.08965855292	0.07372793416	0.4111556321	0.05396170606	0.0321580136	0.1294934076	0.1108728522	4.375050962	4.0	0.0	0.0
3203	US-Ne2	12	2020	41.1649	-96.4701	235.5794371625	273.4802407125	291.8229813125	0.8222580626375	21.9248922425	3.52112069	356.035136	5.964863999999977	0.05405354624	0.02645118113	0.05894332546	0.0334697547	0.368329128	0.05905434251	0.03556870426	0.2632211344	0.1008695722	5.624270966	4.0	0.0	0.0
3204	US-Ne2	12	2021	41.1649	-96.4701	208.61128910624998	278.84879005	290.346771225	0.59217741755	29.7978448275	4.8690732758749995	356.035136	5.964863999999977	0.05772977794	0.02839816293	0.06750466901	0.03723138086	0.5618788481	0.04741173843	0.03046954227	0.1279050169	0.04143189366	4.010283523	4.0	0.0	0.0
3205	US-Ne2	13	2016	41.1649	-96.4701	222.7709677125	281.46774895	294.512093075	0.7965725784625	26.1850215525	5.007435345125	356.035136	5.964863999999977	0.05040120963	0.02863386127	0.1061711255	0.04512169717	0.2912099067	0.1237990361	0.03516596087	0.2722508507	0.04720446925	5.266416385	4.0	0.0	0.0
3206	US-Ne2	13	2017	41.1649	-96.4701	228.45886973749998	281.824193025	295.96451394999997	0.814919356225	26.3453663775	4.9627155169999995	356.035136	5.964863999999977	0.04581457425	0.02958376431	0.06517121165	0.02826613258	0.6077576666	0.0400121135	0.02934059564	0.1119697711	0.04204657165	4.0	4.0	0.0	0.0
3207	US-Ne2	13	2018	41.1649	-96.4701	179.8108842725	271.3576621875	284.6407292375	0.497782251525	17.53146551375	2.93534482725	356.035136	5.964863999999977	0.04551037997	0.02858618465	0.05693006703	0.03012973591	0.4365549331	0.07009694839	0.03269986046	0.2552040936	0.04424871604	4.948056564	4.0	0.0	0.0
3208	US-Ne2	13	2019	41.1649	-96.4701	252.67943745	277.49394485	293.660482825	0.9287500046	25.560560343749998	4.526077585875	356.035136	5.964863999999977	0.06986549264	0.02906634072	0.08965855292	0.07372793416	0.4111556321	0.05396170606	0.0321580136	0.1294934076	0.1108728522	4.375050962	4.0	0.0	0.0
3209	US-Ne2	13	2020	41.1649	-96.4701	208.99072405375	269.4866985	283.18951945000003	0.4722580551845	21.67521551625	3.9325431035	356.035136	5.964863999999977	0.05405354624	0.02645118113	0.05894332546	0.0334697547	0.368329128	0.05905434251	0.03556870426	0.2632211344	0.1008695722	5.624270966	4.0	0.0	0.0
3210	US-Ne2	13	2021	41.1649	-96.4701	192.9124983375	272.89596655	283.3963697875	0.44237903030000003	10.545258620875	1.58836206875	356.035136	5.964863999999977	0.05772977794	0.02839816293	0.06750466901	0.03723138086	0.5618788481	0.04741173843	0.03046954227	0.1279050169	0.04143189366	4.010283523	4.0	0.0	0.0
3211	US-Ne2	14	2016	41.1649	-96.4701	222.46370699624998	282.1572581625	294.7124977125	0.734919356775	35.6089439675	7.295258620875	356.035136	5.964863999999977	0.05040120963	0.02863386127	0.1061711255	0.04512169717	0.2912099067	0.1237990361	0.03516596087	0.2722508507	0.04720446925	5.266416385	4.0	0.0	0.0
3212	US-Ne2	14	2017	41.1649	-96.4701	217.4241918825	276.48871095	287.7447596875	0.572822577915	28.1299569	5.007866379125	356.035136	5.964863999999977	0.04581457425	0.02958376431	0.06517121165	0.02826613258	0.6077576666	0.0400121135	0.02934059564	0.1119697711	0.04204657165	4.0	4.0	0.0	0.0
3213	US-Ne2	14	2018	41.1649	-96.4701	238.1314531125	276.424190875	293.5624993875	0.9674596960375	22.79946120875	3.695474137875	356.035136	5.964863999999977	0.04551037997	0.02858618465	0.05693006703	0.03012973591	0.4365549331	0.07009694839	0.03269986046	0.2552040936	0.04424871604	4.948056564	4.0	0.0	0.0
3214	US-Ne2	14	2019	41.1649	-96.4701	224.45282423749998	277.20806345	292.013709275	0.6833871028575	24.86109913625	4.183189654875	356.035136	5.964863999999977	0.06986549264	0.02906634072	0.08965855292	0.07372793416	0.4111556321	0.05396170606	0.0321580136	0.1294934076	0.1108728522	4.375050962	4.0	0.0	0.0
3215	US-Ne2	14	2020	41.1649	-96.4701	248.51088516250002	278.377826675	296.181047375	1.0847177369374998	22.8523706925	3.996120689625	356.035136	5.964863999999977	0.05405354624	0.02645118113	0.05894332546	0.0334697547	0.368329128	0.05905434251	0.03556870426	0.2632211344	0.1008695722	5.624270966	4.0	0.0	0.0
3216	US-Ne2	14	2021	41.1649	-96.4701	241.4374984625	277.6000017875	292.8814521125	0.8033064383875	25.485129308875	4.3382543103749995	356.035136	5.964863999999977	0.05772977794	0.02839816293	0.06750466901	0.03723138086	0.5618788481	0.04741173843	0.03046954227	0.1279050169	0.04143189366	4.010283523	4.0	0.0	0.0
