county,state,year,trees lost,grass lost,lost flooded veg,lost crops,lost shrub,gained trees,gained grass,gained flooded veg,gained crops,gained shrub
Del Norte,California,2016,202774.96160508698,235756.70885225185,223.4593505859375,219938.71884155273,2174583.883227479,43851275.18640495,5602089.910069126,1783.5526733398438,5194364.366203308,47002045.70431791
Del Norte,California,2017,4920386.891584508,1278746.1351809632,2679.760940551758,1869045.1630049162,10771841.346060358,784567.0604095459,636650.8831176758,594.3772583007812,643564.252518149,3884538.5636818088
Del Norte,California,2018,2583396.706448903,509337.59928894043,0.0,619180.8284323299,6823084.121378878,1892614.8874917421,1403940.9162254184,57176.52600097656,550287.1809310913,6476181.706043618
Del Norte,California,2019,272411.6095199585,401354.85861206055,222.89147186279297,199682.54818725586,1423749.0644803513,20867445.76468003,2220792.670727569,0.0,1943164.4723101447,30593761.474808928
Del Norte,California,2020,3414391.5439511165,560806.9635532753,0.0,488886.68963623047,6278838.099620894,1387852.6223602295,1192135.638625261,1188.7553100585938,516180.64807891846,3427205.4632173427
Del Norte,California,2021,903456.807144165,657157.0593414307,2679.3022384643555,381140.05084228516,3721021.0139945536,7702396.911799711,1581301.2681085025,4758.9844970703125,919451.8168258667,19637216.39319506
