county,state,year,trees lost,grass lost,lost flooded veg,lost crops,lost shrub,gained trees,gained grass,gained flooded veg,gained crops,gained shrub
Siskiyou,California,2016,3464479.9234923716,13737665.798171578,246350.94458770752,65781555.27946981,182141672.36325,43143362.11257917,38482521.33063507,4576876.348876953,475551019.3966924,603951290.9913146
Siskiyou,California,2017,11278398.53743352,18704810.3024292,2880038.4610061646,216913948.12032434,469047001.3050239,19136607.551134355,33689484.213636,890951.8554077148,228224538.15449524,321869266.3971603
Siskiyou,California,2018,5810358.835326341,5053263.963764505,137732.69709777832,135600128.23044553,261295704.72321677,27823780.023575008,210551860.50604248,8186586.694396973,294713440.0644946,731008617.9849364
Siskiyou,California,2019,6312419.628732988,51884195.266515695,4626523.106873187,97888074.18087219,623660307.5525513,43980608.35242435,14674559.897447204,143276.85594769646,521150957.3089185,209926326.91742447
Siskiyou,California,2020,21454760.99738207,19826264.19973001,1906188.4728469849,229606072.75175855,523475826.2341078,7839519.644141343,84508487.0491867,119126.16973876953,519509734.18112075,331783682.88164926
Siskiyou,California,2021,18061996.625536513,43913867.23537723,98216.2876739502,294987148.62578464,416555899.46209294,11764388.076011747,46765509.66456831,553090.6215209961,547282988.4616368,993339184.7373956
