county,state,year,trees lost,grass lost,lost flooded veg,lost crops,lost shrub,gained trees,gained grass,gained flooded veg,gained crops,gained shrub
Butte,California,2016,5279064.941592557,4344238.043519684,140413.66952685188,48219546.3686435,107637451.10518193,52372318.2143964,17212464.277565002,715473.7506239947,226852858.7468364,142416698.2483027
Butte,California,2017,5011638.722136914,3623950.071334839,160985.2082977295,106054689.54669307,44446404.45851584,33656159.894568235,2610086.99533844,218695.67274409276,97257852.22953077,146532382.3493024
Butte,California,2018,20965238.36453621,1342686.555053711,67771.67809295654,40293735.95220134,75526067.94909142,12164240.76338465,76007997.33974266,836149.0573120117,96375803.35337754,323720437.904944
Butte,California,2019,4412288.248748869,3038929.146642827,276828.08434295654,31120245.97197684,92414579.8129503,58670004.8698199,7924299.778396606,617684.5655517578,63877394.857939236,94881275.10038847
Butte,California,2020,12689932.767564213,23815284.938902073,458950.32488026336,71327057.59524548,82278719.50409654,18439421.74180675,7847416.545964559,297984.16065219056,113181702.65645546,160405716.237007
Butte,California,2021,13642675.175249735,4371230.288345576,564239.0347006406,52395617.84486263,110936175.05404241,13615931.923871208,101592194.52402426,790872.6502594593,102831323.84414844,149209093.53250122
