county,state,year,trees lost,grass lost,lost flooded veg,lost crops,lost shrub,gained trees,gained grass,gained flooded veg,gained crops,gained shrub
Alameda,California,2016,9008630.727400446,20873759.593746167,1446730.1107921824,65565203.28915943,80006836.79119663,24182817.55354596,6479545.620432236,2726417.9083802467,266162124.12981752,59134669.700276405
Alameda,California,2017,1361539.9551638737,11236034.494886152,1009006.1464658849,177930118.90774897,36007606.72489451,15420060.549602196,29589407.889663395,1252802.599617513,191072754.8157438,176318504.42081767
Alameda,California,2018,2388880.5409712843,7530661.463653205,477602.15443779435,160024829.64090335,72859765.56211449,10559068.511423267,146663061.86350137,2635777.08764433,108239893.90015464,155308898.45321238
Alameda,California,2019,2299775.73647425,45004963.05209159,1201172.9051449944,54869117.98934924,109643847.13344456,10014630.346443444,11718575.171967661,1057748.8756347657,348683834.3592681,76491167.29966408
Alameda,California,2021,4271067.002783682,48937132.11627748,554774.6094693352,145445681.89467773,102000105.41015355,19648387.95452055,22756919.638694763,1995166.4555123122,170009382.94062036,124504561.2257822
