county,state,year,trees lost,grass lost,lost flooded veg,lost crops,lost shrub,gained trees,gained grass,gained flooded veg,gained crops,gained shrub
Amador,California,2016,3441191.9324918855,1756424.3123491474,0.0,4924370.523180075,36177071.58269934,15420544.285316557,15902675.429782644,12526.429382324219,43992172.94684196,79488330.55280946
Amador,California,2017,2331425.1634624405,2219386.0493562585,2112.3711547851562,13689255.578097474,26334599.662912253,12987148.349083755,6150700.044361519,10632.689636230469,9409730.397903983,62790045.178940415
Amador,California,2018,4915450.758807432,733022.0727386475,0.0,5674285.245606786,32687246.323890537,5568203.571237181,30127779.853848144,16902.36163330078,3721009.327308655,56142654.11394606
Amador,California,2019,1042379.9837269203,5715385.458880736,12669.050811767578,1901686.0878295898,21937429.550375544,30218588.981458593,5425990.590382446,0.0,6791280.902101135,39715598.1909479
Amador,California,2021,7114215.197510274,7688249.8714353675,704.3982238769531,12829408.993862856,55936567.40761207,6370733.239213113,23610180.927113075,626.9089965820312,8984148.55067731,80447166.50369559
