,index,NAME,result,year,0,1,2,3,4,5,6,7,8,9,10
10,10,Contra Costa,"[{""change"":0,""sum"":1.8128598755377579E9},{""change"":1,""sum"":1.784828731148529E7},{""change"":2,""sum"":6.577830736090851E7},{""change"":3,""sum"":262643.1541519165},{""change"":4,""sum"":8052509.824226379},{""change"":5,""sum"":3759349.956138611},{""change"":6,""sum"":2896281.106262207},{""change"":7,""sum"":1673641.9134597778},{""change"":8,""sum"":182512.2133255005},{""change"":9,""sum"":3498059.1399002075},{""change"":10,""sum"":1801906.0057983398}]",2017,1812859875.5377579,17848287.31148529,65778307.36090851,262643.1541519165,8052509.824226379,3759349.956138611,2896281.106262207,1673641.9134597778,182512.2133255005,3498059.1399002075,1801906.0057983398
11,11,El Dorado,"[{""change"":0,""sum"":4.593038824526436E9},{""change"":1,""sum"":1.4632490018661499E7},{""change"":2,""sum"":4011615.473587036},{""change"":3,""sum"":1400.178825378418},{""change"":4,""sum"":662319.1876907349},{""change"":5,""sum"":1291962.257446289},{""change"":6,""sum"":7692315.969863892},{""change"":7,""sum"":1751166.1849060059},{""change"":9,""sum"":99200.70445251465},{""change"":10,""sum"":3428098.226524353}]",2017,4593038824.526436,14632490.018661499,4011615.473587036,1400.178825378418,662319.1876907349,1291962.257446289,7692315.969863892,1751166.1849060059,,99200.70445251465,3428098.226524353
12,12,Glenn,"[{""change"":0,""sum"":3.230334386123787E9},{""change"":1,""sum"":1.517146064087677E7},{""change"":2,""sum"":1.6618022750527954E8},{""change"":3,""sum"":197032.92111206055},{""change"":4,""sum"":7474093.449989319},{""change"":5,""sum"":7610350.079330444},{""change"":6,""sum"":1223136.087463379},{""change"":7,""sum"":1784025.165298462},{""change"":8,""sum"":36524.68048095703},{""change"":9,""sum"":5404776.948997498},{""change"":10,""sum"":1430797.93825531}]",2017,3230334386.123787,15171460.64087677,166180227.50527954,197032.92111206055,7474093.449989319,7610350.079330444,1223136.087463379,1784025.165298462,36524.68048095703,5404776.948997498,1430797.93825531
13,13,Lake,"[{""change"":0,""sum"":3.4100878887610703E9},{""change"":1,""sum"":9662859.849761963},{""change"":2,""sum"":6929328.64994812},{""change"":3,""sum"":68954.39656829834},{""change"":4,""sum"":1293816.4268722534},{""change"":5,""sum"":7780856.576339722},{""change"":6,""sum"":1710134.0681304932},{""change"":7,""sum"":1337737.4653244019},{""change"":8,""sum"":68353.57875823975},{""change"":9,""sum"":301336.66455841064},{""change"":10,""sum"":3953642.3039474487}]",2017,3410087888.7610703,9662859.849761963,6929328.64994812,68954.39656829834,1293816.4268722534,7780856.576339722,1710134.0681304932,1337737.4653244019,68353.57875823975,301336.66455841064,3953642.3039474487
14,14,Lassen,"[{""change"":0,""sum"":1.1908252468573715E10},{""change"":1,""sum"":5331110.340408325},{""change"":2,""sum"":6447121.266990662},{""change"":3,""sum"":3077945.031829834},{""change"":4,""sum"":2.7838690508163452E7},{""change"":5,""sum"":1.06636783973732E8},{""change"":6,""sum"":1568007.468788147},{""change"":7,""sum"":2278386.587364197},{""change"":8,""sum"":980329.5242919922},{""change"":9,""sum"":1.3635259418843842E8},{""change"":10,""sum"":2.626341951498413E7}]",2017,11908252468.573715,5331110.340408325,6447121.266990662,3077945.031829834,27838690.508163452,106636783.973732,1568007.468788147,2278386.587364197,980329.5242919922,136352594.18843842,26263419.51498413
15,15,Madera,"[{""change"":0,""sum"":5.400468298876373E9},{""change"":1,""sum"":2.5000679755844116E7},{""change"":2,""sum"":8.143511413729858E7},{""change"":3,""sum"":153741.9919052124},{""change"":4,""sum"":3.537784847711182E7},{""change"":5,""sum"":6417291.632743835},{""change"":6,""sum"":6872036.515830994},{""change"":7,""sum"":457488.34841918945},{""change"":8,""sum"":29581.867767333984},{""change"":9,""sum"":1.5706492915519714E7},{""change"":10,""sum"":5138143.588630676}]",2017,5400468298.876373,25000679.755844116,81435114.13729858,153741.9919052124,35377848.47711182,6417291.632743835,6872036.515830994,457488.34841918945,29581.867767333984,15706492.915519714,5138143.588630676
16,16,Marin,"[{""change"":0,""sum"":1.3414901851528625E9},{""change"":1,""sum"":7303775.473114014},{""change"":2,""sum"":4415648.285209656},{""change"":3,""sum"":140607.043800354},{""change"":4,""sum"":1278582.7573242188},{""change"":5,""sum"":2044069.5608139038},{""change"":6,""sum"":1362950.9355163574},{""change"":7,""sum"":561038.9847183228},{""change"":8,""sum"":15611.860458374023},{""change"":9,""sum"":162526.26570129395},{""change"":10,""sum"":1151188.2096939087}]",2017,1341490185.1528625,7303775.473114014,4415648.285209656,140607.043800354,1278582.7573242188,2044069.5608139038,1362950.9355163574,561038.9847183228,15611.860458374023,162526.26570129395,1151188.2096939087
17,17,Mariposa,"[{""change"":0,""sum"":3.7052361564370804E9},{""change"":1,""sum"":1.4451056124351501E7},{""change"":2,""sum"":5.9696731263183594E7},{""change"":3,""sum"":299.76866912841797},{""change"":4,""sum"":215543.96516418457},{""change"":5,""sum"":4098435.481361389},{""change"":6,""sum"":1901502.2304382324},{""change"":7,""sum"":1051749.1725234985},{""change"":8,""sum"":599.4425201416016},{""change"":9,""sum"":19283.371612548828},{""change"":10,""sum"":2014977.0174331665}]",2017,3705236156.4370804,14451056.124351501,59696731.263183594,299.76866912841797,215543.96516418457,4098435.481361389,1901502.2304382324,1051749.1725234985,599.4425201416016,19283.371612548828,2014977.0174331665
18,18,Mendocino,"[{""change"":0,""sum"":8.98664591284851E9},{""change"":1,""sum"":1.5337717196746826E7},{""change"":2,""sum"":7383401.083724976},{""change"":3,""sum"":237785.1950378418},{""change"":4,""sum"":819931.1243438721},{""change"":5,""sum"":4786024.078056335},{""change"":6,""sum"":6.468112869419861E7},{""change"":7,""sum"":6209299.095146179},{""change"":8,""sum"":6604.9432373046875},{""change"":9,""sum"":553136.2064056396},{""change"":10,""sum"":1.1407142818847656E7}]",2017,8986645912.84851,15337717.196746826,7383401.083724976,237785.1950378418,819931.1243438721,4786024.078056335,64681128.69419861,6209299.095146179,6604.9432373046875,553136.2064056396,11407142.818847656
19,19,Merced,"[{""change"":0,""sum"":4.721511578953621E9},{""change"":1,""sum"":3.795427178616333E7},{""change"":2,""sum"":2.3000565838934326E8},{""change"":3,""sum"":463125.4799118042},{""change"":4,""sum"":3.8330040575431824E7},{""change"":5,""sum"":3.053983822544861E7},{""change"":6,""sum"":3546326.1822509766},{""change"":7,""sum"":1542423.1145095825},{""change"":8,""sum"":359158.6343536377},{""change"":9,""sum"":5.744952124179077E7},{""change"":10,""sum"":2618268.193862915}]",2017,4721511578.953621,37954271.78616333,230005658.38934326,463125.4799118042,38330040.575431824,30539838.22544861,3546326.1822509766,1542423.1145095825,359158.6343536377,57449521.24179077,2618268.193862915
